movie_id,title,tags
1439930,The Punisher: One Last Kill,"As Frank Castle searches for meaning beyond revenge, an unexpected force pulls him back into the fight. Action Drama Crime Jon Bernthal Deborah Ann Woll Jason R. Moore Reinaldo Marcus Green post-traumatic stress disorder (ptsd) gun anti hero hallucination based on comic revenge conspiracy one man army death of family marvel cinematic universe (mcu) angry vigilante justice"
687163,Project Hail Mary,"Science teacher Ryland Grace wakes up on a spaceship light years from home with no recollection of who he is or how he got there. As his memory returns, he begins to uncover his mission: solve the riddle of the mysterious substance causing the sun to die out. He must call on his scientific knowledge and unorthodox ideas to save everything on Earth from extinction. Science Fiction Adventure Ryan Gosling Sandra Hüller James Ortiz Phil Lord friendship coma based on novel or book bravery sun language barrier space travel space mission alien space memory loss suicide mission astronaut scientist science teacher save the planet spaceship interspecies friendship intense"
1007757,Swapped,"A small woodland creature and a majestic bird, two natural sworn enemies of the Valley, magically trade places and set off on an adventure of a lifetime to switch back. Their journey soon uncovers a greater threat—one that could endanger not only their species, but the entire valley they call home. Animation Family Adventure Fantasy Michael B. Jordan Juno Temple Tracy Morgan Nathan Greno wolf buddy forest fire woodlands forest lore relaxed bird 3d animation empathetic familiar joyful vibrant body swap animal adventure"
1226863,The Super Mario Galaxy Movie,"Having thwarted Bowser's previous plot to marry Princess Peach, Mario and Luigi now face a fresh threat in Bowser Jr., who is determined to liberate his father from captivity and restore the family legacy. Alongside companions new and old, the brothers travel across the stars to stop the young heir's crusade. Family Comedy Adventure Fantasy Animation Chris Pratt Anya Taylor-Joy Charlie Day Michael Jelenic galaxy friendship sibling relationship space travel turtle sequel slapstick comedy robot based on video game buddy comedy aftercreditsstinger duringcreditsstinger globetrotting space adventure children's adventure father son relationship parallel universe brother brother relationship talking animal magic land absurd baffled joyful wry fictional country"
350,The Devil Wears Prada,"A young woman from the Midwest gets more than she bargained for when she moves to New York to become a writer and ends up as the assistant to the tyrannical, larger-than-life editor-in-chief of a major fashion magazine. Drama Comedy Meryl Streep Anne Hathaway Emily Blunt David Frankel new york city journalist paris, france based on novel or book journalism fashion journal assistant job entrant job interview editor-in-chief fashion fashion magazine bullied city life fashion industry absurd conceited mean spirited ridiculous workplace drama"
1318447,Apex,"A grieving woman pushing her limits on a solo adventure in the Australian wild is ensnared in a twisted game with a cunning killer who thinks she's prey. Action Thriller Charlize Theron Taron Egerton Eric Bana Baltasar Kormákur canoe trip rock climbing nutcase survival instinct australian wilderness missing persons case cat‑and‑mouse chase dangerous threat trollveggen mountains, norway extreme challenges deadly fall grieving woman wandarra national park, australia crossbow hunting investigation resolution"
1669050,Tayuan 2,"A charming bus conductor drawn to both men and women who feels an unexpected spark with a shy commuter. On crowded bus rides where bodies brush, desire grows and love becomes messy. Drama Ashley Lopez Marco Mora Chester Grecia Topel Lee sexy"
1523145,Your Heart Will Be Broken,"High school student Polina is saved from bullying at her new school and makes a deal with the main bully Bars: he must pretend to be her boyfriend and protect her, and she must do everything he says. During this game, the couple develops real feelings, but her family and classmates have reasons to separate the lovers. Romance Drama Daniel Vegas Veronika Zhuravleva Ivan Trushin Mikhail Vaynberg based on novel or book appreciative"
1630423,My Dearest Assassin,"Hunted for her rare blood type, a caged woman vows to fight alongside the assassin she loves to protect their future when an old enemy resurfaces. Action Drama Romance Pimchanok Luevisadpaibul Thanapob Leeratanakachorn Sivakorn Adulsuttikul Taweewat Wantha cynical brisk"
931285,Mortal Kombat II,"The fan favorite champions—now joined by Johnny Cage himself—are pitted against one another in the ultimate, no-holds barred, gory battle to defeat the dark rule of Shao Kahn that threatens the very existence of the Earthrealm and its defenders. Action Fantasy Adventure Karl Urban Adeline Rudolph Jessica McNamee Simon McQuoid martial arts magic ninja fighter gore sequel god alternate dimension ninja fighting based on video game martial arts tournament struggling actor hand to hand combat ominous"
83533,Avatar: Fire and Ash,"In the wake of the devastating war against the RDA and the loss of their eldest son, Jake Sully and Neytiri face a new threat on Pandora: the Ash People, a violent and power-hungry Na'vi tribe led by the ruthless Varang. Jake's family must fight for their survival and the future of Pandora in a conflict that pushes them to their emotional and physical limits. Science Fiction Adventure Fantasy Sam Worthington Zoe Saldaña Sigourney Weaver James Cameron witch clone space war tribe sequel alien transhumanism family space adventure family dynamics rival oscar winner"
1266127,Ready or Not: Here I Come,"Moments after surviving an all-out attack from the Le Domas family, Grace discovers she’s reached the next level of the nightmarish game — and this time with her estranged sister Faith at her side. Grace has one chance to survive, keep her sister alive, and claim the High Seat of the Council that controls the world. Four rival families are hunting her for the throne, and whoever wins rules it all. Thriller Horror Comedy Samara Weaving Kathryn Newton Elijah Wood Matt Bettinelli-Olpin escape ritual dark comedy satanism gore pact with the devil sequel game exploding body satanic ritual satanic cult estranged sister sister sister relationship satanic sisters death game horror"
1292415,Beast,"MMA legend Patton James, now a commercial fisherman, is pulled back into the cage when his brother is in danger. Reuniting with his old coach Sammy, he commits to one final fight in one championship against the brutal champion Xavier Grau. Action Drama Daniel MacPherson Luke Hemsworth Russell Crowe Tyler Atkins mixed martial arts (mma) sports drama"
1327819,Hoppers,"Scientists have discovered how to 'hop' human consciousness into lifelike robotic animals, allowing people to communicate with animals as animals. Animal lover Mabel seizes an opportunity to use the technology, uncovering mysteries within the animal world beyond anything she could have imagined. Animation Adventure Comedy Family Science Fiction Piper Curda Bobby Moynihan Jon Hamm Daniel Chong human vs nature spy beaver oregon, usa transhumanism consciousness aftercreditsstinger duringcreditsstinger human becoming an animal robotic animal 3d animation"
460465,Mortal Kombat,"Washed-up MMA fighter Cole Young, unaware of his heritage, and hunted by Emperor Shang Tsung's best warrior, Sub-Zero, seeks out and trains with Earth's greatest champions as he prepares to stand against the enemies of Outworld in a high stakes battle for the universe. Action Fantasy Adventure Lewis Tan Jessica McNamee Mehcad Brooks Simon McQuoid saving the world magic ninja fighter gore god alternate dimension shaolin monk fighting based on video game martial arts tournament reboot hand to hand combat casual"
936075,Michael,"The story of Michael Jackson, one of the most influential artists the world has ever known, and his life beyond the music. His journey from the discovery of his extraordinary talent as the lead of the Jackson Five, to the visionary artist whose creative ambition fueled a relentless pursuit to become the biggest entertainer in the world, highlighting both his life off-stage and some of the most iconic performances from his early solo career. Music Drama Jaafar Jackson Colman Domingo Nia Long Antoine Fuqua child abuse sibling relationship 1970s abusive father ambition biography singer period drama music history price of fame singer-songwriter rise to fame 1980s 1960s wonder music joyous cheerful biographical drama music drama biopic"
1330021,Remarkably Bright Creatures,"Through unlikely bonds formed during night shifts at a local aquarium, Tova, an elderly widow, learns of a life-changing discovery that may bring her joy and wonder once again. Drama Mystery Sally Field Lewis Pullman Colm Meaney Olivia Newman aquarium octopus british columbia washington loss of child based on young adult novel fictional town"
1198994,Send Help,"Two colleagues become stranded on a deserted island, the only survivors of a plane crash. On the island, they must overcome past grievances and work together to survive, but ultimately, it's a battle of wills and wits to make it out alive. Horror Thriller Comedy Rachel McAdams Dylan O'Brien Edyll Ismail Sam Raimi bullying role reversal survival struggle for survival survival horror deserted island power struggle colleagues bullying in the workplace plane crash gender inequality comedy thriller comedy horror"
1426822,Mortal Game,"A group of hunters travel to a mysterious island to track down a legendary forest creature. They soon realize their guide has set them up as bait, forcing them to confront a highly intelligent predator that terrorizes them one by one. Horror Action Deniella Alexis Kevin Lloyd Reid Mark Ettlinger John Lechago "
